DRUPAL-EXCLUSION,"drupal exclusion"
WORDPRESS-EXCLUSION,"wordpress exclusion"
COMMON-EXCEPTIONS,"common exceptions"
IP-REPUTATION,IP-REPUTATION
METHOD-ENFORCEMENT,METHOD-ENFORCEMENT
DOS-PROTECTION,DOS-PROTECTION
SCANNER-DETECTION,SCANNER-DETECTION
PROTOCOL-ENFORCEMENT,PROTOCOL-ENFORCEMENT
PROTOCOL-ATTACK,PROTOCOL-ATTACK
APPLICATION-ATTACK-LFI,APPLICATION-ATTACK-LFI
APPLICATION-ATTACK-RFI,APPLICATION-ATTACK-RFI
APPLICATION-ATTACK-RCE,APPLICATION-ATTACK-RCE
APPLICATION-ATTACK-PHP,APPLICATION-ATTACK-PHP
APPLICATION-ATTACK-XSS,APPLICATION-ATTACK-XSS
APPLICATION-ATTACK-SQLI,APPLICATION-ATTACK-SQLI
APPLICATION-ATTACK-SESSION-FIXATION,APPLICATION-ATTACK-SESSION-FIXATION
BLOCKING-EVALUATION,BLOCKING-EVALUATION
DATA-LEAKAGES,DATA-LEAKAGES
DATA-LEAKAGES-SQL,DATA-LEAKAGES-SQL
DATA-LEAKAGES-JAVA,DATA-LEAKAGES-JAVA
DATA-LEAKAGES-PHP,DATA-LEAKAGES-PHP
DATA-LEAKAGES-IIS,DATA-LEAKAGES-IIS
BLOCKING-EVALUATION,BLOCKING-EVALUATION
CORRELATION,CORRELATION
CUSTOM,CUSTOM
WEBSHELL,"web shell"
